99,"Stress is not an illness, but it can ___ to many illnesses.",medium ,NULL
100,He ____ off his holiday until after the winter.,medium ,NULL
101,She ____ obsessed with rock climbing at a young age.,hard,NULL
102,"He’s not a stamp collector, ___?",hard,NULL
103,How long ____ you had this car?,hard,NULL
104,____ anyone get hurt?,hard,NULL
105,He ____ about birds. It drives me mad!,hard,NULL
106,She keeps ____ her things all around the place which is so annoying.,hard,NULL
107,He ____ me to the first game when I was only 6.,hard,NULL
108,At first I ____ starting work so early but this has changed.,hard,NULL
109,"My new PC, ____ I bought last week, has already broken down.",hard,NULL
110,I'd like to see the photos ____ you took on holiday.,hard,NULL
111,People __________ from the illness find it difficult to relax.,hard,NULL
112,You'd better take your coat ____ the weather gets worse.,hard,NULL
113,She did a course in confidence building ____ overcome her phobia,hard,NULL
114,He ____ a therapist for several years after he left school,hard,NULL
115,She ____ much better since she left the hospital last week.,hard,NULL
116,He realized that he ____ his car keys in the office.,hard,NULL
117,We couldn't fall asleep because our neighbours ____ a lot of noise.,hard,NULL
118,"____ plans you might have for the weekend, you'll have to change them.",hard,NULL
119,They ____ out for a few years before they decided to get married.,hard,NULL
120,You won't pass the exam ____ you start revising immediately.,hard,NULL
121,We wouldn't have missed the bus if you ____ to chat with Mary!,hard,NULL
122,The party was so boring I wish I ____ there at all.,hard,NULL
123,If only you ____ more time to spend with the family.,hard,NULL
124,"Oh, you're busy? I ____ you later, OK?",hard,NULL
125,"By the time the guests arrive, we ____ everything for the party.",hard,NULL
126,During the next meeting we ____ about setting goals,hard,NULL
127,I can't find my keys. I ____ them.,hard,NULL
128,The police stopped us and said we ____ to enter the building.,hard,NULL
129,Admission was free so we ____ any tickets,hard,NULL
130,I'm not sure if you're aware ____ the risk.,hard,NULL
131,The horror movie wasn't just frightening! It was ____ terrifying!,hard,NULL
132,"____ the weather was horrible, we decided to go out for a short walk.",hard,NULL
133,We should remind _____ to be thankful for all that we have.,hard,NULL
134,His father asked Dan where ____ all day.,hard,NULL
135,She advised him ______ sun cream.,hard,NULL
136,She was only 19 when she sailed across ____ Atlantic.,hard,NULL
137,Your leg could be broken so you must have ____ X-ray.,hard,NULL
138,The square was ____ crowded we couldn't pass.,hard,NULL
139,Two climbers are reported to ____ during the storm last night.,hard,NULL
140,I'll need to have the stairs ____.,hard,NULL
141,I only paid ?20 for this jacket! It was a real ____.,hard,NULL
142,Jane is always poking her nose in other people's business. She's so ____!,hard,NULL
143,"As far as I'm ____, I do not support the new government.",hard,NULL
144,The window ____ was really imaginative.,hard,NULL
145,She ____ the sack last week and is now looking for a new job.,hard,NULL
146,She doesn't ____ of my decision.,hard,NULL
147,During his stay in Indonesia he went ____ with malaria.,hard,NULL
148,"When the customs officers found some illegal goods hidden in the car, he was arrested for ____.",hard,NULL
149,"I can't move the sofa. Could you ____ me a hand with it, please?",hard,NULL
150,I couldn't get in ____ with you all week! Where have you been?,hard,NULL
